length_of_stay_days,pet_type,pet_age,size,shedding,coat_length,temperament,breed_type,adoption_fee,gender,is_mix,shots_up_to_date,spayed_neutered,hypoallergenic,housebroken,special_need,gets_along_with_cats,gets_along_with_dogs,gets_along_with_kids,courtesy_post,cross_post,litter,parent_of_litter,primary_breed,secondary_breed,third_breed,fourth_breed,bully_breed,popular_breed,bonded_pair,age_total_months,sentiment_score,record_type,subtype,had_medical
43,dog,senior,small,no shedding,nan,nan,nan,400,female,yes,yes,yes,yes,yes,no,yes,yes,yes,no,no,no,no,schnauzer (standard),jack russell terrier,,,no,no,no,162.0,0.0,surgery/procedures,other,yes
24,dog,senior,small,nan,nan,nan,nan,250,female,no,yes,yes,yes,yes,no,not sure,yes,not sure,no,no,no,no,schnauzer (miniature),,,,no,no,no,170.0,0.0,surgery/procedures,dental prophylaxis,yes
99,dog,senior,small,sheds a little,short,nan,purebreed,200,female,no,yes,yes,no,no,no,not sure,yes,yes,yes,no,no,no,dachshund,,,,no,yes,no,199.0,0.0,,,no
31,dog,adult,small,no shedding,nan,nan,nan,550,male,no,yes,yes,not sure,no,not sure,not sure,yes,not sure,no,no,no,no,maltese,,,,no,no,no,65.0,0.0,,,no
50,dog,puppy,large,nan,nan,nan,nan,465,male,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,black mouth cur,shepherds (all types),,,no,no,no,25.0,0.0,,,no
22,dog,puppy,small,nan,nan,nan,nan,475,female,no,yes,yes,yes,yes,not sure,not sure,yes,yes,no,no,no,no,lhasa apso,,,,no,no,no,,0.0,,,no
90,dog,young,medium,nan,nan,nan,nan,400,female,yes,yes,yes,no,yes,no,yes,yes,yes,no,no,no,no,australian shepherd,blue heeler,,,no,no,no,66.0,0.0,,,no
12,dog,puppy,medium,sheds a little,nan,nan,nan,700,male,nan,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,english bulldog,,,,no,no,no,17.0,0.0,"medications, surgery/procedures",other,yes
28,dog,puppy,medium,nan,nan,nan,nan,400,male,yes,yes,yes,no,yes,no,not sure,yes,yes,yes,no,no,no,shepherds (all types),boxer,,,no,no,no,45.0,0.0,,,no
176,dog,puppy,medium,nan,nan,nan,nan,465,female,yes,yes,yes,not sure,yes,not sure,not sure,yes,yes,no,no,no,no,pit bull terrier,,,,no,no,no,26.0,0.0,"diagnosis, diagnosis",,yes
24,dog,young,large,nan,nan,nan,nan,400,female,no,yes,yes,no,not sure,yes,not sure,yes,not sure,no,no,no,no,german shepherd dog,,,,no,no,no,81.0,0.0,,,no
28,dog,puppy,large,nan,nan,nan,nan,550,female,no,yes,yes,no,no,no,not sure,yes,yes,no,no,no,no,boxer,,,,no,no,no,39.0,0.0,,,no
61,dog,puppy,medium,nan,nan,nan,nan,465,female,yes,yes,yes,not sure,not sure,not sure,not sure,not sure,not sure,no,no,no,no,pit bull terrier,,,,no,no,no,32.0,0.0,,,no
27,dog,nan,medium,sheds a lot,nan,nan,nan,465,male,yes,yes,yes,no,no,no,not sure,not sure,not sure,no,no,no,no,boxer,,,,no,no,no,32.0,0.0,diagnosis,,yes
20,dog,young,small,sheds a little,nan,nan,nan,400,female,nan,yes,yes,no,no,no,no,not sure,not sure,no,no,no,no,chihuahua,,,,no,no,no,34.0,0.0,,,no
8,dog,young,large,nan,nan,nan,nan,450,female,yes,yes,yes,no,yes,no,not sure,yes,yes,no,no,no,no,german shepherd dog,,,,no,no,no,62.0,0.0,"medications, diagnosis",,yes
37,dog,adult,small,nan,nan,nan,nan,350,male,no,yes,yes,no,no,not sure,not sure,yes,no,no,no,no,no,pomeranian,,,,no,no,no,98.0,0.0,,,no
20,dog,young,small,nan,nan,nan,nan,565,male,yes,yes,yes,not sure,yes,not sure,yes,yes,yes,no,no,no,no,schnauzer (standard),chihuahua,,,no,no,no,34.0,0.0,,,no
30,dog,young,small,nan,nan,nan,nan,450,male,no,yes,yes,no,not sure,yes,not sure,yes,yes,no,no,no,no,australian shepherd,,,,no,no,no,34.0,0.0,,,no
14,dog,young,small,nan,nan,nan,nan,650,female,nan,yes,yes,not sure,yes,not sure,not sure,not sure,not sure,no,no,no,no,shih tzu,,,,no,no,yes,43.0,0.0,,,no
10,dog,young,small,nan,nan,nan,nan,715,female,no,yes,yes,not sure,no,not sure,not sure,yes,yes,no,no,no,no,bichon frise,,,,no,no,no,32.0,0.0,,,no
72,dog,young,medium,nan,nan,calm,nan,350,female,no,yes,yes,no,yes,not sure,not sure,yes,yes,no,no,no,no,pit bull terrier,,,,no,no,no,60.0,0.30000000000000004,,,no
