bookformat,desc,pages,rating,reviews,totalratings,cover_image
Paperback,ship traveled universe longer crew recall true purpose origins unknown larger many planets housing thousands alien races many one secrets discovered center ship planet marrow team ship best brightest sent investigate return origins ship bring doom everyone board robert reed whose fantastic stories filling major sf magazines past several years spins captivating tale adventure wonder incredible scale novel based acclaimed novella,512,3.82,110,2051,cover_images/processed_image_111.jpg
Paperback,probably popular book history far east classic sixteenth century novel combination picaresque novel folk epic mixes satire allegory history rollicking adventure story roguish monkey encounters major minor spirits gods demigods demons ogres monsters fairies translation distinguished scholar arthur waley first accurate english version makes available western reader faithful reproduction spirit meaning original,306,4.02,552,6147,cover_images/processed_image_139.jpg
Hardcover,one thing find vampire princess whole thing actually rule newly married jessica packwood hard enough time feeling regal husband lucius side evidence murder powerful elder points lucius sending solitary confinement jessica suddenly determined clear husband name jessica launches investigation hallucinations nightmares betrayal keep getting way jessica knows blood drink lucius time running figure real killer late,309,3.9,853,9807,cover_images/processed_image_160.jpg
Paperback,phssthpok pak traveling thousand years mission save develop protect group pak breeders sent space two half million years brennan belter product fiercely independent somewhat anarchic society living around outer asteroid belt belters rebels one brennan smuggler belt worlds tracking pak ship days brennan figured meet ship first never seen least alive time,224,4.07,252,9596,cover_images/processed_image_276.jpg
Mass Market Paperback,environment smoke ring descendants crew discipline longer remembered earth roots existence sharls davis kendy despot ship kendy initiated contact fourteen years later jeffer citizens tree scientist knew kendy still watching waiting citizens tree people rescued family loggers learned first time admiralty large society living free fall amid floating debris called clump likely admiralty maintained intact discipline original computer exploration temptation neither jeffer kendy could resist neither citizens tree sharls davis kendy would ever,323,3.78,85,3463,cover_images/processed_image_286.jpg
Hardcover,shot north dakota glacier two space habs astronauts find paralyzed earth gravity center ruthless manhunt united states government,368,3.54,120,2306,cover_images/processed_image_301.jpg
Mass Market Paperback,pocket cover artist harry bennett unearthly voice hisses unholy welcome late great allen carpentier begins journey dim nether regions demons wield diabolically sharp pitchforks tormented vixens reign forever pond sheer ice land torment terror discovers amazing truth ultimate adventure lies beyond frank herbert somber beauty inferno brought twentieth century care humor sins dante even suspect,237,3.83,340,5486,cover_images/processed_image_309.jpg
Paperback,great epics come along long stories push normal boundaries force reader think stories powerful message grand scale guidelines tales usually judged completely rearranged spawned brilliant creative mind alex ross earth x one epic along writer jim krueger artist john paul leon ross breathes life gives amazing detail every facet earth x mythos made evident everything early conceptual pencil sketches fourteen beautifully painted covers earth x explores depths heights marvel universe roots humble beginnings peak ultimate collects earth x x,464,3.86,122,2906,cover_images/processed_image_328.jpg
Paperback,sir gawain green knight one important alliterative poems medieval literature,320,4.09,76,5350,cover_images/processed_image_340.jpg
Hardcover,generations ago violence banned new earth society governed conflicts resolved arena fantasy computer game epic everyone plays win chance go university get supplies community fulfill dreams lose life game worth erik seeking revenge unjust treatment parents dares subvert rules epic friends find ultimate masters game committee erik friends win may key destroying epic tyranny new earth lose setting fantasy mmorpg epic early example litrpg,384,3.95,556,6277,cover_images/processed_image_349.jpg
Hardcover,princess wisdom known dizzy longs life adventure far beyond staid old kingdom tips soldier longs keep true life secret fortitude orphaned maid longs three passionate souls might attain dreams preserving montagne certain destruction tolerate long enough come plan tough save world ca even room magic cunning one special cat join forces hilarious extraordinary tale author dairy queen princess ben incredibly creative tale told diaries memoirs encyclopedia entries letters biographies even stage play woven together grand adventure,314,3.1,384,1561,cover_images/processed_image_384.jpg
Paperback,everyone rough nights things clearly taken turn surreal angel young photographer finds group drunken teenagers courtyard apartment building taunting young troll trolls known scandinavian mythology wild beasts like werewolf troll small wounded creature angel decides offer safe night morning angel thinks dreamed finds troll alive well drinking toilet one troll city angel begins researching frantically angel searches internet folklore nature journals newspaper clippings research tell trolls exude pheromones profound aphrodisiac effect around angel life changes beyond recognition becomes clear troll familiar man forbidden feelings may take across lines never thought cross novel sparkling originality troll wry peculiar beguiling story nature man relationship wild things dark power wildness,278,3.58,460,4354,cover_images/processed_image_452.jpg
Hardcover,welcome york mist lingers narrow buildings cast long haunted city world miranda tennant arrives york terrible tragic secret eager lose amid quaint cobblestones hoping wo run countless ghosts supposedly roam city meets nick intense boy knows york hidden places histories miranda wonders nick falling distracted another boy one even handsome mysterious nick lives house across miranda seems desperate send sort message could boy one york haunted souls soon miranda realizes something dangerous deadly planned may face darkest part order unravel mystery find redemption,304,3.85,344,3135,cover_images/processed_image_456.jpg
Kindle Edition,everything universe comes price diurnia salvage transport undergoes change management captain ishmael horatio wang finds adrift sea red ink intrigue dives find head universe competition takes new meaning tragic price captain wang pay owner share,540,4.4,213,3904,cover_images/processed_image_540.jpg
Hardcover,folio size encyclopedia fairy lore legend illustrated color throughout,184,4.15,18,4422,cover_images/processed_image_656.jpg
ebook,bonus short story also features excerpt star wars new jedi order edge victory forces darkness threaten engulf galaxy one last defiant spark remains though yuuzhan vong victorious savage conquest planet duro failed extract sensitive information leia organa solo barely clings life enduring enemies torture unless receives medical attention soon badly wounded princess former head new republic surely die pursued bounty hunters han solo begins race time find urgent pleas help rejected planet planet jedi blamed continuing fight seemingly invincible aliens desperate solos decide suicide mission must reach coruscant new republic capital traitors appeasers assassins share goal fierce yuuzhan vong kill jedi,95,3.54,35,2792,cover_images/processed_image_664.jpg
Paperback,imagine time space traveler another planet one looks human exemplifies ideal world comes world free human nature greed cruelty creature would prot calls newest patient manhattan psychiatric prot seems know besides drawing constellations viewed name home planet prot describe orbit around double suns unpublished detail prot really come ability cure severe mental cases disappear charm everyone comes contact bizarre delusion reality listen psychiatrist specializes delusional behavior documents sessions man p brilliance audio inc,256,4.09,165,2794,cover_images/processed_image_693.jpg
Paperback,edition found stephen baxter highly acclaimed first novel beginning stunning xeelee sequence spaceship earth accidentally crossed hole universe force gravity one billion times strong gravity know somehow crew survived aided fact emerged cloud gas surrounding black hole provided breathable atmosphere five hundred years later descendants still struggle existence divided two main groups miners live belt ramshackle ring dwellings orbiting core dead star excavate raw materials traded food raft structure built wreckage ship small group scientists preserve ancient knowledge makes survival possible rees miner whose curiosity world makes stow away flying one many strange local trade belt raft,251,3.7,204,3377,cover_images/processed_image_721.jpg
Mass Market Paperback,imagine race submicroscopic humans genetically engineered live universe hostile environment turbulent superfluid mantle neutron star imagine memory superbeings created kept alive generation imagine incredible family reunion history ready latest adventure star humans engineered exist within mantle star mere tools makers war xeelee owners universe stephen baxter third novel magnificent xeelee sequence exotic endearing story abandoned people,366,3.65,50,1356,cover_images/processed_image_722.jpg
Paperback,sardonically funny gem speculative fiction philip dick creates novel manages simultaneously unpredictable perversely poor pete garden lost berkeley also lost wife get new one soon rolls three part rules bluff game become blinding obsession last inhabitants planet earth rules change drastically terminally pete garden playing next game opponent even human stakes lot higher berkeley,223,3.64,246,4143,cover_images/processed_image_736.jpg
ebook,ménage amour manlove erotic alternative ménage trois romance avery donovan escaped held captive almost thirty years injured run seeking refuge making way across ranch southern montana catches unique smell mates alone scared decides trust fate follow scent childhood friends cord hartwell tyson fitzgerald spent decades denying feelings one day injured tiger shows front porch shifts gorgeous man changes lives avery hours convince mate claim cord ty finally admit feelings desire avery continue deny feelings risk losing chance happiness,108,3.7,57,1265,cover_images/processed_image_804.jpg
Paperback,happens resources become scarce society starts crumble competition resources pulls america previously stable society apart new normal soft apocalypse world ends whimper instead bang new social structures tribal connections spring across america previous social structures begin dissolve locus award finalist john campbell memorial award finalist soft apocalypse follows journey across southeast tribe formerly middle class americans struggle find place children new dangerous world still carries ghostly echoes previous lives,256,3.5,456,2479,cover_images/processed_image_807.jpg
Kindle Edition,melissa marr returns ravishing world faerie story set bestselling novels ink exchange fragile eternity recently anointed king dark court niall struggles forge new relationship former dark king irial,100,3.98,82,1797,cover_images/processed_image_844.jpg
Kindle Edition,grace senior year almost ending way never imagined best friend side boyfriend fiance life moving good things never last knows happening grace life turned forced face truth means robert person understands truth means beginning forces want grace dead friends family want grace alive safe finally collide battle prize life also death,635,4.22,99,1802,cover_images/processed_image_857.jpg
Paperback,death village dust settles orochimaru attack shinobi find everyone survived ninja mourn unlikely candidate chosen greatness ninja returns dangerous entourage naruto finds life turmoil ever,200,4.37,131,7524,cover_images/processed_image_906.jpg
Mass Market Paperback,mighty conan fight death dangerous fiends hyborian age hunting swift stag tusked boar gloomy forests gunderland marches conan loses son conn supremely evil wizards black ring drawn deadly pursuit ends death battle deepest levels endurance,171,4.04,29,1934,cover_images/processed_image_922.jpg
Paperback,raj whitehall troops must conquer continent barbarians descended crews squadron starships raj biggest problem cowardice envy among officers,320,4.11,14,1263,cover_images/processed_image_954.jpg
Paperback,writer michael straczynski classic tale loss redemption collected entirety issues midnight nation cover gallery also includes touching insightful afterword straczynski,304,4.06,144,1510,cover_images/processed_image_980.jpg
Hardcover,magic continues new york times bestselling author mercedes lackey enchanting new story tales five hundred kingdoms series beauty must battle beasts rescues eldest daughter often doomed fairy tales beauchamps daughter wealthy escape usual anxious avoid traditional path bella dons red cloak ventures forbidden forest consult granny local wisewoman way home attacked turns cursed nobleman secluded castle bella torn family strange man creates marvelous inventions makes howling bella knows well breaking spells never easy determined beauty wizard occasional werewolf little godmotherly interference might able bring happy ending,329,3.77,721,7414,cover_images/processed_image_1049.jpg
ebook,blade runner meets matrix gripping thriller incredible pilot jon carlson meets beautiful humanitarian rachel match made heaven literally rachel angel also ai controlled android immense power capability jon finds drawn world enigmatic creations mankind unknowingly becomes involved program create autonomous superweapons intended fight next war,426,3.9,116,1309,cover_images/processed_image_1062.jpg
Board book,adventures high seas lead cursed pirate girl encounter mythic creatures gnarled crusty pirates ghostly apparitions tries find lost father one dreaded pirate captains mythical omerta seas whimsical swashbuckling tale wonderland journeys unimaginable dangers starting port elisabeth jamaica year quickly heading waves first three issues cursed pirate girl collected edition epilogue,120,4.02,232,1118,cover_images/processed_image_1161.jpg
Paperback,morning glory academy one prestigious prep schools country behind hallowed doors something sinister deadly lurks six brilliant troubled new students arrive find trapped desperately seeking answers escape place nothing seems,188,3.77,840,9468,cover_images/processed_image_1164.jpg
Paperback,inquisition moves amongst mankind like avenging shadow striking enemies humanity complete ruthlessness inquisitor eisenhorn faces vast interstellar cabal dark power daemons racing recover arcane text supreme abominable power ancient tome known necroteuch book eisenhorn trilogy sets new standard action adventure,320,4.17,323,4833,cover_images/processed_image_1244.jpg
Paperback,threat war passed sabina kane ready focus future relationship adam lazarus getting stronger helping sister maisie overcome trauma captivity new orleans even giguhl managing stay trouble thanks arrival pussy willow new roller derby team much sabina wants feel hopeful future part trust peace suspicions confirmed string sadistic murders threaten stall treaty negotiations mages vampires sabina pitches find killer investigation soon leads dark paths questioning everyone thought could trust closer gets killer sabina begins suspect one foe may able kill,405,4.04,328,6863,cover_images/processed_image_1284.jpg
ebook,leo adams kidnapped forced serve unwilling blood donor coalition vampires one day manages escape straight maddox maddox unsure fallen arms knows one thing fight death keep leo safe,158,3.66,76,1107,cover_images/processed_image_1396.jpg
ebook,nothing aleron pitre ca steal nobody ca con situation ca slip sent prison planet tantoret every sentence death prisoners kill die slowly mining poisonous drug chojal yet aleron still hopes thirty athaki guards keep chaos tantoret check race aliens stronger faster human charges intimidating head guard jasak reasons sent amidst darkness desperation aleron jasak share unexpected attraction attraction neither resist jasak claims aleron mate protect discover guards inmates planning coup traitor enemy nation threatens whole planet suddenly escape tantoret aleron dream matter survival words,393,3.77,161,1394,cover_images/processed_image_1399.jpg
Kindle Edition,everyday werewolf finds mate two hundred years waiting tobias willing overlook alexandria humanity bring world never knew existed eager escape father brutal fists alex lets instant connection tobias overcome natural reserve quickly finds world less dangerous one left behind secrets come light revealing extraordinarily different alex truly love survive duty differences keep apart excerpt muttered eyes still trained wolf case began move come legs work god sake need get wolfie decides hungry crazy psycho wakes tries kill leaning wall holding support alex managed make feet closing eyes sighed relief bad enough fred father make university explode foliage attacked raving lunatic saved wolf enough excitement lifetime done getting line thought cut short opened eyes find body saviour wolf transforming something seconds passed man stood place wolf inane thought floated mind face transformation wearing clothes would thought naked blushed thought man smiled began approach thought fled eyes rolled back mind went blissfully blank stresses day apparently taken toll,322,3.83,45,1426,cover_images/processed_image_1428.jpg
Hardcover,spidey hits big time creating new opportunities technology costumes plus debut new hobgoblin collecting amazing,144,4.18,88,2123,cover_images/processed_image_1454.jpg
Hardcover,shandee finds friendly arm granite quarry ned drops hole golf course luna meets man made light bulbs tanning parlor begins nicholson baker escapade house holes baker bestselling author mezzanine vox fermata writes like one else america newsweek returns erotic territory gleefully novel set pleasure resort normal rules apply visitors pulled via drinking straws dryers laundromats undergo crotchal transfers make love trees visit groanrooms porndecahedron white lake expensive course programs charge operations lila former hospital administrator whose breast milk unusual regenerative brimful wit surreal sexual vocabulary house holes hieronymous boschian bacchanal sure surprise amuse arouse,262,3.09,467,2537,cover_images/processed_image_1488.jpg
ebook,lion jaguar shifter fall love fur two boys kevin werelion ready find mate searching shifter online dating service finds payce werejaguar dreams someone tries hurt man would mate kevin shows new lover willing keep supernatural mate dreams,72,3.77,53,1568,cover_images/processed_image_1553.jpg
Hardcover,hundreds years vampire balthazar allies without balthazar agrees help skye tierney human girl attended evernight academy idea dangerous skye newfound psychic powers caught attention redgrave cruel seductive master vampire responsible murdering balthazar family four centuries ago redgrave plans use skye powers evil balthazar whatever takes stop redgrave exact revenge killer skye balthazar stand together fight grow unwillingly undeniably balthazar realizes lonely world could finally changed,374,4.01,601,8125,cover_images/processed_image_1682.jpg
Paperback,dark magic unknown enemies monsters every profiler jace valchek seen bizarre parallel universe werewolves vampires even warrant raised eyebrow jace face life might look like one starts another assignment track rogue mafia werewolf family upsets delicate balance underworld jace counting soon fighting growing wolf inside startling stopping bloody gangland war wo easy jace feeling new inhuman desires better undead book bloodhound files dd barant takes jace farther ever result stellar addition already outstanding series rt book reviews,324,4.03,115,2525,cover_images/processed_image_1704.jpg
Paperback,reads r l japanese style containing volumes fullmetal alchemist alphonse elric go short minutes wiped existence body soul secret lair city dublith group outcasts kidnaps alphonse find alchemical secrets creation ed certain housewife go devil nest rescue brother criminals devil nest exactly human either al must fight homunculus artificial human streets dublith run red blood,576,4.61,115,2095,cover_images/processed_image_1843.jpg
Paperback,monstrous constellation unnatural light like glutted swarm fireflies dancing hellish sarabands accursed marsh lovecraft perhaps greatest twentieth century practitioner horror story introducing genre new evil monstrous pervasive unconquerable heart three stories terrors unthinkable strange meteorite wretched inhabitant ancient castle curse book includes colour space outsider hound,78,4.06,701,7357,cover_images/processed_image_1844.jpg
Kindle Edition,conger agreed kill stranger never seen concerned getting wrong man knew man looked like way could make mistake target identity man skull shoulder,24,3.69,228,2790,cover_images/processed_image_1904.jpg
Kindle Edition,ancient evils threaten inherited danger book two dawning power trilogy catrin leaves homeland behind goes search knowledge peace unaware face greatest evil world ever world godsland young adult epic fantasy series includes dawning power trilogy bundle available call herald inherited danger dragon ore balance power trilogy bundle available regent feral regal artifacts power trilogy bundle available soon fifth magic dragonhold seventh magic,278,3.86,95,1693,cover_images/processed_image_2039.jpg
ebook,sensuous pleasures tasted night comes twilight sleep consciousness fulfill secret desires lyssa bates never experienced ecstasy brought man whose deep blue eyes hold promise tempting intimacies decadent pleasures stranger lover immortal seducer phantom nocturnal appears inexplicably door flesh lyssa aches reality grave danger surrender captain aidan cross mission passion consumes body soul could dire consequences world dreams waking one well,304,3.73,562,8698,cover_images/processed_image_2052.jpg
Paperback,early science fiction novel offers fascinating vision shadowy underworld populated strange beautiful creatures closely resemble angels described christian lore beings known live underground planning soon claim surface earth destroying humankind process,148,3.24,175,1261,cover_images/processed_image_2063.jpg
Paperback,captain marvel wielded cosmic powers defense galaxy exposure carcinogenic nerve gas causes succumb incurable cancer,64,4.21,106,1564,cover_images/processed_image_2079.jpg
Hardcover,death captain america hits marvel universe hard superstar jeph loeb teams industry top artists story everyone collects captain america fallen son death captain america wolverine avengers captain america iron man,128,4.07,165,4930,cover_images/processed_image_2080.jpg
Paperback,thief charges bank loaded gun ask money asks instead object greatest significance currently possession patron thief leaves patrons survive strange things soon begin happen one survivor tattoo jumps ankle chases around another wakes find made candy stacey hinterland discovers shrinking incrementally little every day nothing husband son reverse process tiny wife fable losing circumstances finding love another,99,3.76,416,3247,cover_images/processed_image_2094.jpg
Paperback,welcome world nothing seems every touch ecstasy alexandria car goes road terrible blizzard idea night bring powerful rescuer start ecstatic sexual awakening moment xandi wakes stefan muscular arms feels heat body pressing feels fear instead allows taken one man whose primal nature never far connection grows xandi gradually loses sensual inhibitions experiencing pleasures never dreamed possible drawn deeper stefan mysterious world meeting alluring beauty keisha well dominant sometimes ruthlessly commanding anton man woman way,257,3.61,187,2461,cover_images/processed_image_2128.jpg
Paperback,substantial introduction covers many questions lie behind poem including thorough summary homeric grammar text elucidated full annotations indexes bibliography,432,4.09,51,1663,cover_images/processed_image_2146.jpg
Hardcover,epraim horrified comes home school one day find mother unconscious kitchen table clutching bottle pills even disturbing suicide attempt reason dead boy identified hospital afternoon boy looks exactly like examining dead double belongings ephraim discovers strange coin makes wishes come true time flips long wished alcoholic mother model parent girl liked since second grade suddenly notices ephraim soon realizes coin comes consequences several wishes go disastrously wrong best friend nathan becomes obsessed coin world begins change unexpected ways ephraim learns coin secrets control power must find way keep nathan return world remembers ages,285,3.48,264,1271,cover_images/processed_image_2175.jpg
Paperback,ten years passed since great tokyo earthquake people memories disaster faded ganta igarashi middle school evacuee finally begun live normal life classmates red man appears school ganta fate changed forever,240,4.25,108,4118,cover_images/processed_image_2296.jpg
Paperback,ganta publicly executed rokuro senji intervenes kills undertakers attacking supersonic speed meanwhile shiro befriended mysterious boy named toto ganta tired helpless weak asks senji train help karako scar chain decide retry escape plan rescuing nagi genkaku karako others escape data chip delivered colleague inspection team ganta decides remain deadman wonderland shiro,224,4.27,90,2782,cover_images/processed_image_2297.jpg
Paperback,librarian note english translation volume cancelled due tokyopop closing north american manga alternate future dark fantasy story deadman wonderland follows ganta young man framed mass murder countless bizarre ordeals twisted prison called deadman wonderland,192,4.22,86,2127,cover_images/processed_image_2298.jpg
ebook,alpine woods shifter nothing stop wolf found mate even doubts skulk abandoned four years ago samantha knew would never truly wanted accidentally stumbles wolf town asked premier stay believes novelty arctic fox motivating knows tires jason finds pulled samantha moment faints arms wolf calling telling found mate heat feels samantha impossible resist little fox loaded emotional baggage believe worthy love overcome fears pack jealousies local foxes convince belong chance words,86,3.64,137,2555,cover_images/processed_image_2318.jpg
ebook,every sorority secrets college freshman ginger carmichael could care less important things mind like maintaining perfect gpa matter much ca stand idea cliques matching colors something girls alpha beta beauty confidence unapologetic draws ginger initiation begins ginger finds pledge bond sisterhood lifelong pact serve six bloodthirsty demons lot nutritional despite fears ginger falls hard immortal queen nest semester draws close sees protecting family secret forbidden love much harder studying finals,348,3.85,124,1134,cover_images/processed_image_2363.jpg
Paperback,upon time girl rescued seven brothers spell turned swans one boy ardwin left scar spell last gasp one arm remained wing ardwin yearned find place father kingdom wing whispered open sky rushing wind marked difference ardwin sets discover bird boy crippled sound cursed blessed followed cold eye sorceress war rumbling kingdom borders ardwin path may lead enlightenment unimaginable danger,359,3.79,207,1672,cover_images/processed_image_2383.jpg
ebook,justine jones faces ultimate enemy attempt put unhappy past behind justine jones throws nursing school planning wedding otto sanchez man dreams something random details adding imagination friends fiancé keeping secrets strange sense unease odd new headaches justine tries stay upbeat midcity cowers martial law sleepwalking cannibals mysterious rash paranormal copycat violence search answers leads dangerous mindgame help unlikely allies including paranoid dad best frenemy simon justine fights ultimate unravels startling mystery product warnings book contains rollerblade chases mysterious green dashboard ornament father bride full hazmat gear delicious kebab,323,3.94,370,3070,cover_images/processed_image_2412.jpg
Paperback,tender novel describing eager inept young love daphnis chloe tells story baby boy girl discovered separately two years apart alone exposed greek mountainside taken goatherd shepherd respectively raised near town mytilene grow maturity unaware one another existence mischievous god love eros creates sudden overpowering desire one another masterpiece among early greek romances attracting high praise moral disapproval work proved enduringly fertile source inspiration musicians writers artists henry fielding corot maurice ravel longus transforms familiar themes romance genre including pirates dreams supernatural virtuoso love story rich insight humorous ironical treatment human sexual experience,128,3.78,243,3163,cover_images/processed_image_2468.jpg
Hardcover,nearly twenty years vernor vinge produced enthralling sequel memorable bestselling novel fire upon deep ten years passed tines world ravna bergnsdot number human children ended disaster nearly obliterated humankind throughout galaxy ravna pack animals planet named survived war ravna saved one hundred children aboard vessel brought peace among tines among among seek matter cost malcontents determined overturn fledgling civilization taken root since humans world fascinating wonders terrifying dangers vernor vinge created powerful novel adventure discovery entrance many readers fire upon deep filled inventiveness excitement human drama become hallmarks work new novel sure become another great milestone vinge already stellar career,444,3.65,533,6023,cover_images/processed_image_2490.jpg
Paperback,embrace darkness sensual vampire romance novel acclaimed author susan sizemore world holds great danger alec reynard kind dark hollows soul threaten overwhelm undergoes secret medical treatments allow bear daylight living double life bodyguard must also battle powerful chemistry explodes domini lancer mere mortal unbelievably soul mate domini knows nothing alec true nature danger threatens kidnaps clan stronghold protect longer hide forces aligned domini draw near alec wonders whether accept darkness within whether actually vampire slayer cleverly infiltrated clan,345,3.85,123,4037,cover_images/processed_image_2514.jpg
Paperback,breaking laws nature serious crime r l japanese style audience contains volumes fullmetal alchemist alchemical ritual gone wrong edward elric lost arm leg brother alphonse became nothing soul suit armor equipped mechanical limbs edward becomes state alchemist seeking one thing restore brother bodies legendary philosopher alchemy mystical power alter natural world somewhere magic art science two brothers edward alphonse elric dabbled powers grant dearest wish one lost arm leg became nothing soul locked body living iron agents government slaves complex using unique powers obey orders even kill powers unique world crawls evil alchemists pursuit ultimate alchemical treasure philosopher stone enemies even ruthless,576,4.6,349,7043,cover_images/processed_image_2634.jpg
ebook,inspired slavic mythology damien oracle entree ongoing battle good evil fate humanity white god damian guardians protect world black god monsters rescuing naturals humans extraordinary paranormal gifts black god would kill convert caught middle sofia natural whose gift tip scales war sofia begins transformation human oracle first thousands years damian rescues black god time complete ceremony bind eternity sofia struggles new world role oracle damian mate haunted mysterious man damian past supposed dead unbeknownst link dead man may saves damian guardians fate wants nothing petite beauty take place side like oracles legend white god forefathers damian quite rationalize win instead command complicating life sobering realization spies organization helping black god take guardians damian must help sofia reach potential fast especially threat past returns,129,4.01,206,3217,cover_images/processed_image_2644.jpg
Nook,wanted crimes throne empire notorious assassin bounties heads soldiers hunting likely candidates heroics unearth plot military premier ice breaking ship may ones thwart saboteurs soldiers kill first,30,4.11,70,1361,cover_images/processed_image_2663.jpg
Mass Market Paperback,nightrunners back gripping novel full lynn flewelling trademark action intrigue richly imagined dissolute noblemen appear alec seregil skillful spies dedicated serving queen country stumble across evidence plot pitting queen phoria princess klia two nightrunners find loyalties torn never even best times royal court rhíminee serpents nest intrigue war plenimar going badly treason simmers poses threat mysterious plague spreading crowded streets city striking young old alike panic mounts body count rises hidden secrets emerge seregil alec learn conspiracies plagues one thing common cure deadly disease,476,4.17,296,4434,cover_images/processed_image_2664.jpg
Nook,doomed kingdom young queen sacrifice killer bring empire knees world men share kindred beasts idol beasts predicts child end endless war centuries strife first enemy king must die son brought jashimari queen numerous failed attempts killing king shandor seems impossible assassin offers deed success places crown prince queen mercy blade becomes instrument wrath forged fires fury heart died long ago desert kingdom glance icy smile disarming fires passion never stir blood master dance jondar best ever hold title driven hatred skills trade usher time strife pain live legend forever bear name instrument change fate queen blade,339,3.92,147,1951,cover_images/processed_image_2668.jpg
Mass Market Paperback,planet new moscow brutally destroyed survivors launched likely culprit neighbouring system trade rival new dresden new dresden responsible deadly missiles approach target rachel mansour assigned find one person know disaffected teenager calls wednesday shadowmist wednesday idea might hiding significant information time limited rachel ca resolve mystery mean annihilation entire world,480,3.97,262,8876,cover_images/processed_image_2688.jpg
Mass Market Paperback,winner nebula hugo awards david brin brings bestselling uplift series magnificent conclusion imaginative powerful novel date shattering epic universe poised brink revelation brutal enemy relentlessly pursued centuries arrived fugitive settlers jijo human alien brace final confrontation jijoans hope earthship streaker crewed uplifted dolphins commanded untested yet fate jijo hangs balance streaker carries cargo ancient artifacts may unlock secret first brought intelligent life galaxies many believe dire prophecy come pass age terrifying changes could end galactic dozens white dwarf stars stand ready explode survival sentient life universe rests improbable dream antagonists different races last recognize unity consciousness,557,3.96,143,6300,cover_images/processed_image_2716.jpg
Paperback,dennis nuel physicist research develops machine allows explore alternate realities sport strange scientific properties,277,3.75,196,3457,cover_images/processed_image_2721.jpg
